epoch,reward,algorithm
88,-56.878,MonteCarlo
89,-54.537,MonteCarlo
90,-55.828,MonteCarlo
91,-54.142,MonteCarlo
92,-54.988,MonteCarlo
93,-55.239,MonteCarlo
94,-58.179,MonteCarlo
95,-56.639,MonteCarlo
96,-56.181,MonteCarlo
97,-58.499,MonteCarlo
98,-55.406,MonteCarlo
99,-56.361,MonteCarlo
0,-102.7,SARSA
1,-101.8,SARSA
2,-89.127,SARSA
3,-102.454,SARSA
4,-133.444,SARSA
5,-114.151,SARSA
6,-232.207,SARSA
7,-143.819,SARSA
8,-78.553,SARSA
9,-186.571,SARSA
10,-54.003,SARSA
11,-85.218,SARSA
12,-239.592,SARSA
13,-179.468,SARSA
14,-68.249,SARSA
15,-106.461,SARSA
16,-118.504,SARSA
17,-99.303,SARSA
18,-82.259,SARSA
19,-124.376,SARSA
20,-123.441,SARSA
21,-115.562,SARSA
22,-172.433,SARSA
23,-105.637,SARSA
24,-182.23,SARSA
25,-88.656,SARSA
26,-112.544,SARSA
27,-49.023,SARSA
28,-26.141,SARSA
29,-142.062,SARSA
30,-62.715,SARSA
31,-166.682,SARSA
32,-26.061,SARSA
33,-132.951,SARSA
34,-66.743,SARSA
35,-75.366,SARSA
36,-119.215,SARSA
37,-148.152,SARSA
38,-143.39,SARSA
39,-125.572,SARSA
40,-95.688,SARSA
41,-100.272,SARSA
42,-65.548,SARSA
43,-114.838,SARSA
44,-22.36,SARSA
45,-300.931,SARSA
46,-115.362,SARSA
47,-32.383,SARSA
48,-38.342,SARSA
49,-35.542,SARSA
50,-24.036,SARSA
51,-90.893,SARSA
52,-56.778,SARSA
53,-45.831,SARSA
54,-30.053,SARSA
55,-54.602,SARSA
56,-11.325,SARSA
57,-38.814,SARSA
58,-107.81,SARSA
59,-43.008,SARSA
60,-47.254,SARSA
61,-85.395,SARSA
62,-29.626,SARSA
63,-60.36,SARSA
64,-42.23,SARSA
65,-40.445,SARSA
66,-25.768,SARSA
67,-69.679,SARSA
68,-42.955,SARSA
69,-28.576,SARSA
70,-37.608,SARSA
71,1.589,SARSA
72,-13.366,SARSA
73,-31.228,SARSA
74,-21.109,SARSA
75,-30.932,SARSA
76,-42.351,SARSA
77,-43.816,SARSA
78,-6.063,SARSA
79,-40.124,SARSA
80,-28.908,SARSA
81,-56.299,SARSA
82,-19.804,SARSA
83,-31.858,SARSA
84,-16.532,SARSA
85,-2.066,SARSA
86,-13.2,SARSA
87,-15.897,SARSA
88,-29.7,SARSA
89,-18.32,SARSA
90,7.069,SARSA
91,-20.831,SARSA
92,7.782,SARSA
93,-14.148,SARSA
94,-9.128,SARSA
95,3.194,SARSA
96,-4.788,SARSA
97,7.653,SARSA
98,7.789,SARSA
99,-2.48,SARSA
0,-130.348,Q Learning
1,-9.369,Q Learning
2,8.008,Q Learning
3,7.972,Q Learning
4,8.042,Q Learning
5,7.932,Q Learning
6,7.869,Q Learning
7,7.927,Q Learning
8,7.94,Q Learning
9,8.067,Q Learning
10,7.851,Q Learning
11,8.077,Q Learning
12,7.971,Q Learning
13,8.01,Q Learning
14,7.927,Q Learning
15,7.893,Q Learning
16,7.926,Q Learning
17,7.98,Q Learning
18,7.897,Q Learning
19,7.977,Q Learning
20,8.038,Q Learning
21,7.994,Q Learning
22,8.045,Q Learning
23,7.896,Q Learning
24,7.809,Q Learning
25,8.009,Q Learning
26,8.082,Q Learning
27,7.745,Q Learning
28,7.972,Q Learning
29,7.917,Q Learning
30,7.963,Q Learning
31,7.883,Q Learning
32,7.995,Q Learning
33,7.879,Q Learning
34,7.871,Q Learning
35,7.996,Q Learning
36,7.832,Q Learning
37,7.881,Q Learning
38,7.985,Q Learning
39,7.973,Q Learning
40,7.86,Q Learning
41,7.858,Q Learning
42,7.979,Q Learning
43,7.873,Q Learning
44,8.031,Q Learning
45,7.891,Q Learning
46,7.926,Q Learning
47,7.887,Q Learning
48,7.833,Q Learning
49,7.986,Q Learning
50,7.85,Q Learning
51,7.866,Q Learning
52,7.928,Q Learning
53,7.915,Q Learning
54,7.973,Q Learning
55,8.052,Q Learning
56,7.895,Q Learning
57,7.914,Q Learning
58,8.022,Q Learning
59,7.958,Q Learning
60,7.951,Q Learning
61,8.037,Q Learning
