epoch,reward,algorithm
24,30.4,Q Learning
25,45.8,Q Learning
26,30.4,Q Learning
27,40.4,Q Learning
28,28.2,Q Learning
29,36.9,Q Learning
30,36.9,Q Learning
31,42.3,Q Learning
32,32.0,Q Learning
33,28.7,Q Learning
34,80.7,Q Learning
35,59.4,Q Learning
36,39.3,Q Learning
37,46.8,Q Learning
38,35.3,Q Learning
39,47.1,Q Learning
40,67.1,Q Learning
41,58.6,Q Learning
42,61.3,Q Learning
43,70.9,Q Learning
44,88.1,Q Learning
45,51.3,Q Learning
46,62.9,Q Learning
47,100.3,Q Learning
48,94.9,Q Learning
49,99.7,Q Learning
50,68.1,Q Learning
51,82.8,Q Learning
52,106.7,Q Learning
53,76.6,Q Learning
54,81.2,Q Learning
55,94.2,Q Learning
56,88.2,Q Learning
57,103.0,Q Learning
58,105.2,Q Learning
59,102.1,Q Learning
60,117.1,Q Learning
61,159.6,Q Learning
62,120.4,Q Learning
63,146.0,Q Learning
64,119.0,Q Learning
65,139.2,Q Learning
66,133.2,Q Learning
67,205.3,Q Learning
68,209.1,Q Learning
69,159.2,Q Learning
70,195.9,Q Learning
71,152.3,Q Learning
72,298.6,Q Learning
73,199.3,Q Learning
74,224.7,Q Learning
75,184.4,Q Learning
76,278.0,Q Learning
77,369.7,Q Learning
78,372.4,Q Learning
79,320.8,Q Learning
80,238.0,Q Learning
81,386.0,Q Learning
82,426.7,Q Learning
83,343.6,Q Learning
84,412.6,Q Learning
85,459.0,Q Learning
86,436.3,Q Learning
87,459.6,Q Learning
88,496.0,Q Learning
89,490.8,Q Learning
90,495.1,Q Learning
91,461.4,Q Learning
92,330.7,Q Learning
93,500.0,Q Learning
94,500.0,Q Learning
95,466.4,Q Learning
96,500.0,Q Learning
97,497.1,Q Learning
98,500.0,Q Learning
99,500.0,Q Learning
