epoch,reward,strategy
40,-94.18,Decaying
41,-97.82,Decaying
42,-95.72,Decaying
43,-94.08,Decaying
44,-97.86,Decaying
45,-87.52,Decaying
46,-99.96,Decaying
47,-96.23,Decaying
48,-88.69,Decaying
49,-93.36,Decaying
50,-91.19,Decaying
51,-93.17,Decaying
52,-84.09,Decaying
53,-96.78,Decaying
54,-87.06,Decaying
55,-95.62,Decaying
56,-90.32,Decaying
57,-91.26,Decaying
58,-89.89,Decaying
59,-92.75,Decaying
60,-98.05,Decaying
61,-85.66,Decaying
62,-89.78,Decaying
63,-92.81,Decaying
64,-84.88,Decaying
65,-86.2,Decaying
66,-91.57,Decaying
67,-89.67,Decaying
68,-85.15,Decaying
69,-91.09,Decaying
70,-92.59,Decaying
71,-84.71,Decaying
72,-86.43,Decaying
73,-88.13,Decaying
74,-90.88,Decaying
75,-94.05,Decaying
76,-89.05,Decaying
77,-86.2,Decaying
78,-90.82,Decaying
79,-85.11,Decaying
80,-92.82,Decaying
81,-81.9,Decaying
82,-88.67,Decaying
83,-95.27,Decaying
84,-85.59,Decaying
85,-86.87,Decaying
86,-86.51,Decaying
87,-85.41,Decaying
88,-87.28,Decaying
89,-93.62,Decaying
90,-85.91,Decaying
91,-95.45,Decaying
92,-87.27,Decaying
93,-87.09,Decaying
94,-83.44,Decaying
95,-92.86,Decaying
96,-90.08,Decaying
97,-92.69,Decaying
98,-85.96,Decaying
99,-86.28,Decaying
