epoch,reward,algorithm
0,20.57,Deep cross-entropy
1,22.77,Deep cross-entropy
2,24.35,Deep cross-entropy
3,27.09,Deep cross-entropy
4,27.17,Deep cross-entropy
5,33.2,Deep cross-entropy
6,32.69,Deep cross-entropy
7,45.43,Deep cross-entropy
8,55.15,Deep cross-entropy
9,75.66,Deep cross-entropy
10,80.94,Deep cross-entropy
11,108.4,Deep cross-entropy
12,139.11,Deep cross-entropy
13,170.41,Deep cross-entropy
14,157.94,Deep cross-entropy
15,194.71,Deep cross-entropy
16,198.7,Deep cross-entropy
17,217.01,Deep cross-entropy
18,222.76,Deep cross-entropy
19,227.46,Deep cross-entropy
20,225.54,Deep cross-entropy
21,237.25,Deep cross-entropy
22,237.93,Deep cross-entropy
23,231.52,Deep cross-entropy
24,240.06,Deep cross-entropy
25,238.26,Deep cross-entropy
26,243.44,Deep cross-entropy
27,251.73,Deep cross-entropy
28,259.22,Deep cross-entropy
29,257.61,Deep cross-entropy
30,281.45,Deep cross-entropy
31,254.92,Deep cross-entropy
32,269.21,Deep cross-entropy
33,288.9,Deep cross-entropy
34,292.54,Deep cross-entropy
35,276.82,Deep cross-entropy
36,306.21,Deep cross-entropy
37,304.31,Deep cross-entropy
38,293.42,Deep cross-entropy
39,320.88,Deep cross-entropy
40,336.33,Deep cross-entropy
41,330.55,Deep cross-entropy
42,320.71,Deep cross-entropy
43,341.66,Deep cross-entropy
44,347.33,Deep cross-entropy
45,354.13,Deep cross-entropy
46,371.36,Deep cross-entropy
47,368.29,Deep cross-entropy
48,403.15,Deep cross-entropy
49,399.23,Deep cross-entropy
50,437.78,Deep cross-entropy
51,425.17,Deep cross-entropy
52,419.2,Deep cross-entropy
53,426.15,Deep cross-entropy
54,420.61,Deep cross-entropy
55,418.42,Deep cross-entropy
56,420.49,Deep cross-entropy
57,445.79,Deep cross-entropy
58,451.52,Deep cross-entropy
59,453.39,Deep cross-entropy
60,456.27,Deep cross-entropy
61,466.46,Deep cross-entropy
62,458.27,Deep cross-entropy
63,459.82,Deep cross-entropy
64,452.95,Deep cross-entropy
65,455.38,Deep cross-entropy
66,461.54,Deep cross-entropy
67,461.83,Deep cross-entropy
68,473.35,Deep cross-entropy
69,465.89,Deep cross-entropy
70,476.04,Deep cross-entropy
71,455.83,Deep cross-entropy
72,463.51,Deep cross-entropy
73,459.63,Deep cross-entropy
74,470.41,Deep cross-entropy
75,470.49,Deep cross-entropy
76,483.1,Deep cross-entropy
77,477.09,Deep cross-entropy
78,468.64,Deep cross-entropy
79,468.28,Deep cross-entropy
80,465.59,Deep cross-entropy
81,480.15,Deep cross-entropy
82,462.24,Deep cross-entropy
83,467.83,Deep cross-entropy
84,477.35,Deep cross-entropy
85,469.6,Deep cross-entropy
86,472.48,Deep cross-entropy
87,475.7,Deep cross-entropy
88,461.19,Deep cross-entropy
89,472.59,Deep cross-entropy
90,477.07,Deep cross-entropy
91,486.64,Deep cross-entropy
92,475.4,Deep cross-entropy
93,483.82,Deep cross-entropy
94,467.02,Deep cross-entropy
95,480.0,Deep cross-entropy
96,473.55,Deep cross-entropy
97,478.63,Deep cross-entropy
98,479.21,Deep cross-entropy
99,471.49,Deep cross-entropy
