epoch,reward,quantile,trajectories
0,-499.07,0.1,30
1,-500.0,0.1,30
2,-500.0,0.1,30
3,-497.17,0.1,30
4,-494.09,0.1,30
5,-495.02,0.1,30
6,-499.68,0.1,30
7,-495.91,0.1,30
8,-500.0,0.1,30
9,-500.0,0.1,30
10,-500.0,0.1,30
11,-500.0,0.1,30
12,-500.0,0.1,30
13,-500.0,0.1,30
14,-500.0,0.1,30
15,-500.0,0.1,30
16,-500.0,0.1,30
17,-500.0,0.1,30
18,-500.0,0.1,30
19,-500.0,0.1,30
0,-488.81,0.1,100
1,-483.16,0.1,100
2,-434.42,0.1,100
3,-269.03,0.1,100
4,-157.05,0.1,100
5,-119.96,0.1,100
6,-101.14,0.1,100
7,-92.39,0.1,100
8,-89.29,0.1,100
9,-83.39,0.1,100
10,-84.89,0.1,100
11,-90.06,0.1,100
12,-83.67,0.1,100
13,-95.71,0.1,100
14,-89.2,0.1,100
15,-87.74,0.1,100
16,-86.76,0.1,100
17,-89.5,0.1,100
18,-90.0,0.1,100
19,-91.46,0.1,100
0,-497.19,0.1,300
1,-495.42,0.1,300
2,-468.46,0.1,300
3,-251.67,0.1,300
4,-141.41,0.1,300
5,-92.13,0.1,300
6,-87.42,0.1,300
7,-91.44,0.1,300
8,-81.6,0.1,300
9,-86.42,0.1,300
10,-86.53,0.1,300
11,-82.11,0.1,300
12,-85.9,0.1,300
13,-80.13,0.1,300
14,-85.19,0.1,300
15,-86.96,0.1,300
16,-85.15,0.1,300
17,-84.14,0.1,300
18,-87.71,0.1,300
19,-81.1,0.1,300
0,-452.61,0.1,1000
1,-226.35,0.1,1000
2,-134.93,0.1,1000
3,-98.32,0.1,1000
4,-90.93,0.1,1000
5,-94.69,0.1,1000
6,-87.71,0.1,1000
7,-88.55,0.1,1000
8,-94.74,0.1,1000
9,-99.74,0.1,1000
10,-92.29,0.1,1000
11,-97.18,0.1,1000
12,-109.43,0.1,1000
13,-87.92,0.1,1000
14,-93.67,0.1,1000
15,-87.3,0.1,1000
16,-93.31,0.1,1000
17,-104.2,0.1,1000
18,-90.09,0.1,1000
19,-91.94,0.1,1000
0,-500.0,0.2,30
1,-500.0,0.2,30
2,-500.0,0.2,30
3,-500.0,0.2,30
4,-500.0,0.2,30
5,-500.0,0.2,30
6,-500.0,0.2,30
7,-500.0,0.2,30
8,-500.0,0.2,30
9,-500.0,0.2,30
10,-500.0,0.2,30
11,-500.0,0.2,30
12,-500.0,0.2,30
13,-500.0,0.2,30
14,-500.0,0.2,30
15,-500.0,0.2,30
16,-500.0,0.2,30
17,-500.0,0.2,30
18,-500.0,0.2,30
19,-500.0,0.2,30
0,-498.73,0.2,100
1,-496.02,0.2,100
2,-500.0,0.2,100
3,-500.0,0.2,100
4,-499.7,0.2,100
5,-498.27,0.2,100
6,-481.72,0.2,100
7,-316.79,0.2,100
8,-184.1,0.2,100
9,-150.96,0.2,100
10,-158.52,0.2,100
11,-214.94,0.2,100
12,-384.45,0.2,100
13,-486.29,0.2,100
14,-500.0,0.2,100
15,-500.0,0.2,100
16,-500.0,0.2,100
17,-500.0,0.2,100
18,-500.0,0.2,100
19,-500.0,0.2,100
0,-500.0,0.2,300
1,-500.0,0.2,300
2,-497.96,0.2,300
3,-497.6,0.2,300
4,-417.71,0.2,300
5,-225.06,0.2,300
6,-144.71,0.2,300
7,-123.09,0.2,300
8,-104.31,0.2,300
9,-110.01,0.2,300
10,-139.07,0.2,300
11,-157.61,0.2,300
12,-217.05,0.2,300
13,-244.66,0.2,300
14,-246.28,0.2,300
15,-277.73,0.2,300
16,-327.44,0.2,300
17,-298.8,0.2,300
18,-362.93,0.2,300
19,-326.01,0.2,300
0,-451.29,0.2,1000
1,-244.62,0.2,1000
2,-144.5,0.2,1000
3,-105.5,0.2,1000
4,-92.7,0.2,1000
5,-86.24,0.2,1000
6,-92.13,0.2,1000
7,-99.46,0.2,1000
8,-100.74,0.2,1000
9,-107.09,0.2,1000
10,-105.83,0.2,1000
11,-119.15,0.2,1000
12,-115.37,0.2,1000
13,-128.04,0.2,1000
14,-96.22,0.2,1000
15,-100.52,0.2,1000
16,-141.71,0.2,1000
17,-106.92,0.2,1000
18,-110.89,0.2,1000
19,-113.87,0.2,1000
0,-499.89,0.3,30
1,-499.9,0.3,30
2,-500.0,0.3,30
3,-500.0,0.3,30
4,-500.0,0.3,30
5,-500.0,0.3,30
6,-500.0,0.3,30
7,-500.0,0.3,30
8,-500.0,0.3,30
9,-500.0,0.3,30
10,-500.0,0.3,30
11,-500.0,0.3,30
12,-500.0,0.3,30
13,-500.0,0.3,30
14,-500.0,0.3,30
15,-500.0,0.3,30
16,-500.0,0.3,30
17,-500.0,0.3,30
18,-500.0,0.3,30
19,-500.0,0.3,30
0,-495.18,0.3,100
1,-495.88,0.3,100
2,-482.38,0.3,100
3,-418.83,0.3,100
4,-217.14,0.3,100
5,-121.96,0.3,100
6,-96.14,0.3,100
7,-97.97,0.3,100
8,-92.44,0.3,100
9,-92.44,0.3,100
10,-89.11,0.3,100
11,-92.03,0.3,100
12,-92.24,0.3,100
13,-91.61,0.3,100
14,-90.4,0.3,100
15,-91.8,0.3,100
16,-89.01,0.3,100
17,-90.09,0.3,100
18,-100.54,0.3,100
19,-99.56,0.3,100
0,-496.26,0.3,300
1,-468.53,0.3,300
2,-306.05,0.3,300
3,-158.61,0.3,300
4,-114.1,0.3,300
5,-92.91,0.3,300
6,-88.59,0.3,300
7,-87.31,0.3,300
8,-81.4,0.3,300
9,-88.86,0.3,300
10,-87.95,0.3,300
11,-86.14,0.3,300
12,-88.85,0.3,300
