epoch,reward
0,-497.92
100,-110.88
200,-95.57
300,-494.43
400,-104.91
500,-130.16
600,-140.26
700,-106.78
800,-92.42
900,-83.72
1000,-96.1
1100,-86.38
1200,-93.19
1300,-91.51
1400,-92.01
1500,-93.8
1600,-87.49
1700,-84.25
1800,-84.42
1900,-90.11
2000,-90.83
2100,-93.27
2200,-87.5
2300,-95.87
2400,-101.84
2500,-94.05
2600,-92.84
2700,-91.86
2800,-94.28
2900,-88.92
3000,-91.44
3100,-101.33
3200,-86.36
3300,-84.85
3400,-84.99
3500,-82.19
3600,-83.63
3700,-83.59
3800,-85.79
3900,-83.68
4000,-86.33
4100,-86.33
4200,-86.3
4300,-86.92
4400,-82.19
4500,-83.5
4600,-82.8
4700,-87.45
4800,-89.49
4900,-90.73
