epoch,reward,type
0,-234.42087941318886,Monte Carlo
1,-167.3741871513812,Monte Carlo
2,-116.71663991383429,Monte Carlo
3,-85.75413732841322,Monte Carlo
4,-49.679057719015994,Monte Carlo
5,-25.566514038389798,Monte Carlo
6,-12.244713867744807,Monte Carlo
7,-1.2313384901284885,Monte Carlo
8,21.359168975689677,Monte Carlo
9,46.276004721769425,Monte Carlo
10,63.391122570404825,Monte Carlo
11,71.4497339262982,Monte Carlo
12,64.33159686784455,Monte Carlo
13,78.70381509434792,Monte Carlo
14,86.00284646328127,Monte Carlo
15,83.65679194122082,Monte Carlo
16,89.71560971176933,Monte Carlo
17,98.04834716253752,Monte Carlo
18,99.72764955474453,Monte Carlo
19,98.99136060746845,Monte Carlo
20,96.70414388728332,Monte Carlo
21,100.68302861140924,Monte Carlo
22,107.4302489330745,Monte Carlo
23,107.01227811247475,Monte Carlo
24,110.3298938410866,Monte Carlo
25,114.76573608156481,Monte Carlo
26,117.19543725689708,Monte Carlo
27,117.32049247145031,Monte Carlo
28,115.20080869306906,Monte Carlo
29,113.79039779497175,Monte Carlo
30,123.66724855870196,Monte Carlo
31,126.54494512584478,Monte Carlo
32,123.62052424732173,Monte Carlo
33,129.49373865793885,Monte Carlo
34,119.8155138034204,Monte Carlo
35,132.5288904727181,Monte Carlo
36,129.19145943953217,Monte Carlo
37,129.0967365853921,Monte Carlo
38,133.56678091628913,Monte Carlo
39,134.03329319786738,Monte Carlo
40,132.5106147907853,Monte Carlo
41,133.31269168489078,Monte Carlo
42,134.12889794957135,Monte Carlo
43,131.69834574367167,Monte Carlo
44,135.99111196816787,Monte Carlo
45,143.65305993443732,Monte Carlo
46,147.29350253570766,Monte Carlo
47,148.20906956643418,Monte Carlo
48,148.50859501352448,Monte Carlo
49,141.2108177037737,Monte Carlo
0,-184.428831983273,TD
1,-180.61312015438568,TD
2,-170.54552467010188,TD
3,-174.08153180783017,TD
4,-34.602236405832635,TD
5,-17.047695609470082,TD
6,14.716454899839118,TD
7,18.775771187856414,TD
8,18.607817119710987,TD
9,24.155372227170183,TD
10,13.844483474010593,TD
11,14.20433987450958,TD
12,7.540380039709765,TD
13,11.470892219134862,TD
14,-2.5451187550639123,TD
15,-11.701268703988475,TD
16,12.591314632963675,TD
17,19.81062849689174,TD
18,14.412136295839586,TD
19,16.35648898629657,TD
20,19.43895806373409,TD
21,16.32258093109446,TD
22,20.958976185148035,TD
23,18.561397376508378,TD
24,21.75644838725111,TD
25,19.38758035024737,TD
26,19.44092362394957,TD
27,19.815922682148628,TD
28,22.024198078285217,TD
29,26.080436293133133,TD
30,26.495372411363206,TD
31,26.76071068551948,TD
32,23.16092260495629,TD
33,28.563627790535296,TD
34,23.944870195521,TD
35,28.29543872882233,TD
36,27.3566659080357,TD
37,23.484687672089663,TD
38,26.063386928401766,TD
39,28.678682594030832,TD
40,24.132500814513747,TD
41,27.92947440133314,TD
42,28.614863378832474,TD
43,25.71063742060098,TD
44,20.562043900685204,TD
45,21.395127890264636,TD
46,26.331156887429753,TD
47,23.572650339087904,TD
48,20.048090985550036,TD
49,22.45826829141075,TD
