epoch,reward,type
0,-1321.5594441206572,Monte Carlo
1,-1186.6588648187421,Monte Carlo
2,-1080.3879632040114,Monte Carlo
3,-1012.3032467037629,Monte Carlo
4,-960.1441113374858,Monte Carlo
5,-866.4058733955775,Monte Carlo
6,-821.5697990407442,Monte Carlo
7,-723.3598955421562,Monte Carlo
8,-547.2829963999695,Monte Carlo
9,-413.7359731441762,Monte Carlo
10,-338.0842607480673,Monte Carlo
11,-315.41787053675216,Monte Carlo
12,-291.37783402687126,Monte Carlo
13,-266.71448313556493,Monte Carlo
14,-226.71938337013864,Monte Carlo
15,-222.1391394306074,Monte Carlo
16,-234.08942648787658,Monte Carlo
17,-222.99189773909129,Monte Carlo
18,-230.50114643266178,Monte Carlo
19,-203.29556268444955,Monte Carlo
20,-223.48511236272472,Monte Carlo
21,-205.575598712153,Monte Carlo
22,-197.24909850515374,Monte Carlo
23,-210.34133644238307,Monte Carlo
24,-196.54521584307426,Monte Carlo
25,-207.54663639836636,Monte Carlo
26,-195.89926428649724,Monte Carlo
27,-208.87760279837087,Monte Carlo
28,-201.36652565388823,Monte Carlo
29,-209.12762454697608,Monte Carlo
30,-207.79082921411214,Monte Carlo
31,-209.80089204518,Monte Carlo
32,-212.60889462422384,Monte Carlo
33,-208.4723865313343,Monte Carlo
34,-210.20218014110733,Monte Carlo
35,-209.23104929341332,Monte Carlo
36,-207.74911034281908,Monte Carlo
37,-205.44288639284426,Monte Carlo
38,-191.64580017657235,Monte Carlo
39,-201.13972448397544,Monte Carlo
40,-219.06140041634862,Monte Carlo
41,-199.08577800005008,Monte Carlo
42,-206.97261469696824,Monte Carlo
43,-208.0566933701656,Monte Carlo
44,-205.36361440686295,Monte Carlo
45,-207.18989617077463,Monte Carlo
46,-213.5854218734815,Monte Carlo
47,-198.86432416109471,Monte Carlo
48,-196.54109903710992,Monte Carlo
49,-190.21838840879872,Monte Carlo
0,-1307.8863647991273,TD
1,-1175.815890407192,TD
2,-1045.058138393915,TD
3,-883.5323104086748,TD
4,-579.2825899092755,TD
5,-480.1717989563795,TD
6,-282.01106203955516,TD
7,-259.8840288163399,TD
8,-235.94957388937334,TD
9,-233.13356689576344,TD
10,-228.89368313912564,TD
11,-209.64353830258963,TD
12,-208.63351256496728,TD
13,-216.09526161621966,TD
14,-211.41972272183372,TD
15,-198.6357335248705,TD
16,-189.9429179958643,TD
17,-202.51310261984887,TD
18,-187.43909609072193,TD
19,-196.95636708334686,TD
20,-193.0040355303813,TD
21,-193.57893911435974,TD
22,-198.89902914248773,TD
23,-177.8351411390951,TD
24,-188.58385150245886,TD
25,-188.7396612659315,TD
26,-212.25277011541053,TD
27,-194.78937941705587,TD
28,-197.31736751252222,TD
29,-189.48273110426717,TD
30,-178.31390375966063,TD
31,-188.21214691590848,TD
32,-195.76337501022326,TD
33,-191.5482553957042,TD
34,-178.28519797876433,TD
35,-185.97921618957804,TD
36,-192.28024455118992,TD
37,-197.3323498551881,TD
38,-198.88160472941595,TD
39,-186.5367748095611,TD
40,-184.61750365092695,TD
41,-191.82793940038056,TD
42,-185.89477041475635,TD
43,-182.5159016827464,TD
44,-190.48566690583976,TD
45,-177.3780875917708,TD
46,-192.24483582577403,TD
47,-198.328300195866,TD
48,-194.05685561960183,TD
49,-189.80276254976502,TD
