epoch,reward,type
0,-471.71,Monte Carlo
1,-481.78,Monte Carlo
2,-465.56,Monte Carlo
3,-442.75,Monte Carlo
4,-407.39,Monte Carlo
5,-337.55,Monte Carlo
6,-322.39,Monte Carlo
7,-301.27,Monte Carlo
8,-294.92,Monte Carlo
9,-271.3,Monte Carlo
10,-253.18,Monte Carlo
11,-235.89,Monte Carlo
12,-221.73,Monte Carlo
13,-229.34,Monte Carlo
14,-200.77,Monte Carlo
15,-193.2,Monte Carlo
16,-202.19,Monte Carlo
17,-185.63,Monte Carlo
18,-175.24,Monte Carlo
19,-174.08,Monte Carlo
20,-164.06,Monte Carlo
21,-162.18,Monte Carlo
22,-150.27,Monte Carlo
23,-151.79,Monte Carlo
24,-166.44,Monte Carlo
25,-140.44,Monte Carlo
26,-152.42,Monte Carlo
27,-144.04,Monte Carlo
28,-146.79,Monte Carlo
29,-141.06,Monte Carlo
30,-147.13,Monte Carlo
31,-142.78,Monte Carlo
32,-143.31,Monte Carlo
33,-145.63,Monte Carlo
34,-140.97,Monte Carlo
35,-132.95,Monte Carlo
36,-136.61,Monte Carlo
37,-138.32,Monte Carlo
38,-132.21,Monte Carlo
39,-134.61,Monte Carlo
40,-132.94,Monte Carlo
41,-130.55,Monte Carlo
42,-140.25,Monte Carlo
43,-134.31,Monte Carlo
44,-132.12,Monte Carlo
45,-136.65,Monte Carlo
46,-126.55,Monte Carlo
47,-130.7,Monte Carlo
48,-124.05,Monte Carlo
49,-124.63,Monte Carlo
0,-494.07,TD
1,-493.42,TD
2,-478.93,TD
3,-444.4,TD
4,-347.93,TD
5,-309.98,TD
6,-245.71,TD
7,-224.27,TD
8,-202.73,TD
9,-172.0,TD
10,-154.6,TD
11,-140.31,TD
12,-135.73,TD
13,-139.99,TD
14,-126.86,TD
15,-123.95,TD
16,-122.69,TD
17,-119.4,TD
18,-112.98,TD
19,-113.81,TD
20,-113.95,TD
21,-108.89,TD
22,-112.69,TD
23,-95.85,TD
24,-104.13,TD
25,-102.62,TD
26,-104.7,TD
27,-95.02,TD
28,-109.4,TD
29,-94.84,TD
30,-107.6,TD
31,-101.83,TD
32,-97.58,TD
33,-103.0,TD
34,-98.38,TD
35,-100.05,TD
36,-88.79,TD
37,-97.43,TD
38,-93.04,TD
39,-94.82,TD
40,-95.85,TD
41,-90.27,TD
42,-91.45,TD
43,-90.73,TD
44,-86.0,TD
45,-94.76,TD
46,-89.45,TD
47,-97.97,TD
48,-91.88,TD
49,-90.92,TD
