epoch,reward,delivered,quantile,trajectories,type,sample_count
20,-100.0,0,0.5,1000,Averaging,5
21,-106.03,0,0.5,1000,Averaging,5
22,-100.0,0,0.5,1000,Averaging,5
23,-102.07,0,0.5,1000,Averaging,5
24,-100.0,0,0.5,1000,Averaging,5
25,-100.18,0,0.5,1000,Averaging,5
26,-100.27,0,0.5,1000,Averaging,5
27,-100.0,0,0.5,1000,Averaging,5
28,-100.0,0,0.5,1000,Averaging,5
29,-100.0,0,0.5,1000,Averaging,5
30,-100.09,0,0.5,1000,Averaging,5
31,-100.0,0,0.5,1000,Averaging,5
32,-100.0,0,0.5,1000,Averaging,5
33,-100.0,0,0.5,1000,Averaging,5
34,-100.0,0,0.5,1000,Averaging,5
35,-100.0,0,0.5,1000,Averaging,5
36,-100.0,0,0.5,1000,Averaging,5
37,-100.0,0,0.5,1000,Averaging,5
38,-100.0,0,0.5,1000,Averaging,5
39,-100.0,0,0.5,1000,Averaging,5
40,-100.0,0,0.5,1000,Averaging,5
41,-100.0,0,0.5,1000,Averaging,5
42,-100.0,0,0.5,1000,Averaging,5
43,-100.0,0,0.5,1000,Averaging,5
44,-100.0,0,0.5,1000,Averaging,5
45,-100.0,0,0.5,1000,Averaging,5
46,-100.0,0,0.5,1000,Averaging,5
47,-100.0,0,0.5,1000,Averaging,5
48,-100.0,0,0.5,1000,Averaging,5
49,-100.0,0,0.5,1000,Averaging,5
50,-100.0,0,0.5,1000,Averaging,5
51,-100.0,0,0.5,1000,Averaging,5
52,-100.0,0,0.5,1000,Averaging,5
53,-100.0,0,0.5,1000,Averaging,5
54,-100.0,0,0.5,1000,Averaging,5
55,-100.0,0,0.5,1000,Averaging,5
56,-100.0,0,0.5,1000,Averaging,5
57,-100.0,0,0.5,1000,Averaging,5
58,-100.0,0,0.5,1000,Averaging,5
59,-100.0,0,0.5,1000,Averaging,5
60,-100.0,0,0.5,1000,Averaging,5
61,-100.0,0,0.5,1000,Averaging,5
62,-100.0,0,0.5,1000,Averaging,5
63,-100.0,0,0.5,1000,Averaging,5
64,-100.0,0,0.5,1000,Averaging,5
65,-100.0,0,0.5,1000,Averaging,5
66,-100.0,0,0.5,1000,Averaging,5
67,-100.0,0,0.5,1000,Averaging,5
68,-100.0,0,0.5,1000,Averaging,5
69,-100.0,0,0.5,1000,Averaging,5
70,-100.0,0,0.5,1000,Averaging,5
71,-100.0,0,0.5,1000,Averaging,5
72,-100.0,0,0.5,1000,Averaging,5
73,-100.0,0,0.5,1000,Averaging,5
74,-100.0,0,0.5,1000,Averaging,5
75,-100.0,0,0.5,1000,Averaging,5
76,-100.0,0,0.5,1000,Averaging,5
77,-100.0,0,0.5,1000,Averaging,5
78,-100.0,0,0.5,1000,Averaging,5
79,-100.0,0,0.5,1000,Averaging,5
80,-100.0,0,0.5,1000,Averaging,5
81,-100.0,0,0.5,1000,Averaging,5
82,-100.0,0,0.5,1000,Averaging,5
83,-100.0,0,0.5,1000,Averaging,5
84,-100.0,0,0.5,1000,Averaging,5
85,-100.0,0,0.5,1000,Averaging,5
86,-100.0,0,0.5,1000,Averaging,5
87,-100.0,0,0.5,1000,Averaging,5
88,-100.0,0,0.5,1000,Averaging,5
89,-100.0,0,0.5,1000,Averaging,5
90,-100.0,0,0.5,1000,Averaging,5
91,-100.0,0,0.5,1000,Averaging,5
92,-100.0,0,0.5,1000,Averaging,5
93,-100.0,0,0.5,1000,Averaging,5
94,-100.0,0,0.5,1000,Averaging,5
95,-100.0,0,0.5,1000,Averaging,5
96,-100.0,0,0.5,1000,Averaging,5
97,-100.0,0,0.5,1000,Averaging,5
98,-100.0,0,0.5,1000,Averaging,5
99,-100.0,0,0.5,1000,Averaging,5
0,-360.28,0,0.8,1000,Averaging,5
1,-282.61,0,0.8,1000,Averaging,5
2,-184.51,0,0.8,1000,Averaging,5
3,-138.34,0,0.8,1000,Averaging,5
4,-118.36,0,0.8,1000,Averaging,5
5,-109.54,0,0.8,1000,Averaging,5
6,-104.23,0,0.8,1000,Averaging,5
7,-101.44,0,0.8,1000,Averaging,5
8,-104.23,0,0.8,1000,Averaging,5
9,-100.27,0,0.8,1000,Averaging,5
10,-100.36,0,0.8,1000,Averaging,5
11,-100.18,0,0.8,1000,Averaging,5
12,-100.0,0,0.8,1000,Averaging,5
13,-100.0,0,0.8,1000,Averaging,5
14,-100.0,0,0.8,1000,Averaging,5
15,-100.0,0,0.8,1000,Averaging,5
16,-100.0,0,0.8,1000,Averaging,5
17,-100.0,0,0.8,1000,Averaging,5
18,-100.0,0,0.8,1000,Averaging,5
19,-100.0,0,0.8,1000,Averaging,5
20,-100.0,0,0.8,1000,Averaging,5
21,-100.0,0,0.8,1000,Averaging,5
22,-100.0,0,0.8,1000,Averaging,5
23,-100.0,0,0.8,1000,Averaging,5
24,-100.0,0,0.8,1000,Averaging,5
25,-100.0,0,0.8,1000,Averaging,5
